"","Dolphin.ID","Birth.Date","Death.Date","Sex","total.num.sightings","gap","time","event","trunc.time","first.sight.date","last.sight.date"
"55",55,2006-10-29,2007-02-15,"Unknown",2,0.0027378507871321,0.298425735797399,1,0,2006-11-08,2006-11-09
"56",56,1993-11-27,1994-03-19,"Female",5,0.0164271047227926,0.306639288158795,1,0,1994-03-07,1994-03-19
"57",57,2013-11-23,2014-03-17,"Unknown",1,NA,0.31211498973306,1,0,2013-11-28,2013-11-28
"58",58,2002-12-06,2003-03-31,"Female",16,0.0793976728268309,0.314852840520192,1,0,2002-12-09,2003-03-30
"59",59,2015-11-17,2016-03-11,"Unknown",1,NA,0.314852840520192,1,0,2015-12-02,2015-12-02
"60",60,2002-11-24,2003-03-22,"Unknown",7,0.232717316906229,0.323066392881588,1,0,2002-12-09,2003-03-15
"61",61,1997-01-01,1997-05-01,"Unknown",3,0.0711841204654346,0.328542094455852,1,0,1997-01-15,1997-02-11
"62",62,2018-11-15,2019-03-16,"Unknown",0,NA,0.331279945242984,1,0,NA,NA
"63",63,1999-11-15,2000-03-15,"Unknown",0,NA,0.331279945242984,1,0,NA,NA
"64",64,2005-11-20,2006-03-22,"Unknown",0,NA,0.334017796030116,1,0,NA,NA
"65",65,2011-10-21,2012-02-24,"Unknown",5,0.0191649555099247,0.344969199178645,1,0,2011-10-23,2011-11-05
"66",66,1999-10-01,2000-02-05,"Unknown",1,NA,0.347707049965777,1,0,1999-11-04,1999-11-04
"67",67,2018-12-01,2019-04-09,"Unknown",0,NA,0.353182751540041,1,0,NA,NA
"68",68,2000-01-01,2000-05-13,"Unknown",2,0.0109514031485284,0.364134154688569,1,0,2000-05-03,2000-05-07
"69",69,2012-11-01,2013-03-15,"Unknown",0,NA,0.366872005475702,1,0,NA,NA
"70",70,1997-11-01,1998-03-20,"Unknown",1,NA,0.380561259411362,1,0,1998-01-08,1998-01-08
"71",71,1997-12-15,1998-05-05,"Unknown",2,0.0520191649555099,0.386036960985626,1,0,1998-03-29,1998-04-17
"72",72,2011-11-22,2012-04-13,"Unknown",1,NA,0.39151266255989,1,0,2011-11-28,2011-11-28
"73",73,2013-10-21,2014-03-14,"Unknown",4,0.0136892539356605,0.394250513347023,1,0,2013-11-15,2013-11-23
"74",74,1999-02-01,1999-06-27,"Unknown",5,0.213552361396304,0.399726214921287,1,0,1999-03-28,1999-06-21
